метро;комнат;ссылка;адрес;минут до метро;цена
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/41219231/;Москва, район Пресненский, ул. Красина, 19С1;5;10.0
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/26557114/;Москва, район Пресненский, Большая Садовая ул., 5;3;36.4
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/44708448/;Москва, район Пресненский, Васильевская ул., 4;7;38.0
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/24337632/;Москва, район Тверской, ул. Фадеева, 4А;7;38.0
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/39575645/;Москва, район Пресненский, Большая Садовая ул., 5к2;10;38.4
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/31048330/;Москва, район Тверской, ул. Фадеева, 4;10;39.0
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/32946124/;Москва, район Тверской, Старопименовский пер., 12/6;5;39.2
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/32588350/;Москва, район Пресненский, Большая Садовая ул., 5к1;3;39.2
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/22929798/;Москва, район Тверской, ул. Фадеева, 4;5;40.0
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/22930320/;Москва, район Тверской, ул. Фадеева, 4;5;40.0
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/16354222/;Москва, район Тверской, ул. Фадеева, 4;10;40.0
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/32754226/;Москва, район Тверской, ул. Фадеева, 4А;6;40.0
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/34771420/;Москва, район Тверской, ул. Фадеева, 4А;6;40.0
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/45404313/;Москва, район Пресненский, Васильевская ул., 4;7;40.1
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/16356658/;Москва, район Тверской, ул. Фадеева, 2;10;41.4
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/39575603/;Москва, район Пресненский, Большая Садовая ул., 5к2;10;41.4
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/16356652/;Москва, район Пресненский, Васильевская ул., 4;10;41.5
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/46438569/;Москва, район Пресненский, Васильевская ул., 4;5;41.5
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/35446000/;Москва, район Пресненский, Васильевская ул., 4;7;42.2
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/30026704/;Москва, район Пресненский, Васильевская ул., 4;5;42.2
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/44813259/;Москва, район Пресненский, Васильевская ул., 4;8;42.2
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/39777407/;Москва, район Пресненский, Васильевская ул., 4;7;43.0
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/36334469/;Москва, район Пресненский, Васильевская ул., 4;7;43.3
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/19416958/;Москва, район Тверской, Воротниковский пер., 5/9;4;43.5
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/35480184/;Москва, район Пресненский, Васильевская ул., 4;3;43.7
Маяковская;2-комнатная;http://www.cian.ru/sale/flat/31210930/;Москва, район Пресненский, Васильевская ул., 4;5;43.7
Маяковская;1-комнатная;http://www.cian.ru/sale/flat/41219231/;Москва, район Пресненский, ул. Красина, 19С1;5;10.0
