метро;комнат;ссылка;адрес;минут до метро;цена;площадь
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/31172458/;Санкт-Петербург, район Центральный, Миллионная ул., 23;10;17.9;70
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/37301740/;Санкт-Петербург, район Центральный, Миллионная ул., 12;10;18.5;103
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/13525966/;Санкт-Петербург, район Адмиралтейский, Вознесенский просп., 3;15;21.6;79
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/34666678/;Санкт-Петербург, район Адмиралтейский, Конногвардейский бул., 5;15;24.3;92
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/40556249/;Санкт-Петербург, район Адмиралтейский, Большая Морская ул., 50;10;24.9;115
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/37395304/;Санкт-Петербург, район Центральный, наб. Реки Мойки, 24;10;26.9;60
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/46090192/;Санкт-Петербург, район Адмиралтейский, Конногвардейский бул., 5;10;28.7;70
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/44241174/;Санкт-Петербург, район Адмиралтейский, наб. Реки Мойки, 95;15;29.0;115
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/20732315/;Санкт-Петербург, район Центральный, Невский просп., 5;2;31.0;117
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/45926172/;Санкт-Петербург, район Центральный, наб. Реки Мойки, 31;10;70.0;125
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/47137362/;Санкт-Петербург, район Адмиралтейский, Почтамтская ул., 11;10;6.9;48
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/19037560/;Санкт-Петербург, район Адмиралтейский, Большая Морская ул., 49;10;15.0;80
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/31172458/;Санкт-Петербург, район Центральный, Миллионная ул., 23;10;17.9;70
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/37301740/;Санкт-Петербург, район Центральный, Миллионная ул., 12;10;18.5;103
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/13525966/;Санкт-Петербург, район Адмиралтейский, Вознесенский просп., 3;15;21.6;79
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/34666678/;Санкт-Петербург, район Адмиралтейский, Конногвардейский бул., 5;15;24.3;92
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/40556249/;Санкт-Петербург, район Адмиралтейский, Большая Морская ул., 50;10;24.9;115
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/37395304/;Санкт-Петербург, район Центральный, наб. Реки Мойки, 24;10;26.9;60
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/46090192/;Санкт-Петербург, район Адмиралтейский, Конногвардейский бул., 5;10;28.7;70
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/44241174/;Санкт-Петербург, район Адмиралтейский, наб. Реки Мойки, 95;15;29.0;115
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/20732315/;Санкт-Петербург, район Центральный, Невский просп., 5;2;31.0;117
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/45926172/;Санкт-Петербург, район Центральный, наб. Реки Мойки, 31;10;70.0;125
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/47137362/;Санкт-Петербург, район Адмиралтейский, Почтамтская ул., 11;10;6.9;48
Адмиралтейская;2-комнатная;http://spb.cian.ru/sale/flat/19037560/;Санкт-Петербург, район Адмиралтейский, Большая Морская ул., 49;10;15.0;80
